French,English
de,of
un,A
être,be
et,And
à,has
il,he
avoir,to have
ne,born
je,I
son,her
que,that
se,se
qui,Who
ce,This
pas,not
pour,For
dans,In
vous,YOU
sur,on
faire,TO DO
plus,more
dire,say
nous,We
comme,as
mais,but
on,we
me,me
bien,GOOD
où,Or
même,even
prendre,take
aussi,Also
tout,All
y,y
aller,go
voir,see
sans,without
tu,you
ou,Or
leur,their
homme,man
si,if
deux,two
vouloir,to want
venir,come
quand,When
grand,big
temps,time
elle,She
jour,day
très,very
savoir,know
falloir,to need
mon,My
donner,give
autre,other
lequel,which
par,by
parler,talk
aimer,to like
trouver,find
chose,thing
encore,Again
toujours,always
penser,think
croire,believe
rien,Nothing
an,year
après,After
monde,world
petit,little
demander,ask
alors,SO
lui,him
vie,life
mettre,put
quelque,some
main,hand
temps,time
regarder,look
aucun,none
femme,women
vers,towards
rester,stay
entendre,hear
travailler,to work
attendre,to wait for
heure,hour
dernier,last
nouveau,new
partir,leave
arriver,arrive
sentir,feel
cela,that
comprendre,to understand
depuis,Since
ainsi,Thus
quel,what
entre,between
trop,too much
premier,first
sembler,seem